"","TIME","PUN","DEM","SOLAR","WIND"
"416",2016-02-20,13.8179166666667,5961750,22673.2615,109935.047
"417",2016-02-21,8.32791666666667,5572808,16674.7585,154521.479
"418",2016-02-22,20.1370833333333,6461995,41461.979,103339.032
"419",2016-02-23,24.52875,6421251,36626.6065,89184.271
"420",2016-02-24,24.20125,6593135,75560.3905,83907.36
"421",2016-02-25,27.7808333333333,6567965,62091.6475,62617.633
"422",2016-02-26,28.05375,6543162,89368.977,39275.634
"423",2016-02-27,22.7075,5840286,100860.846,111524.248
"424",2016-02-28,18.3041666666667,5402394,77442.274,113684.022
"425",2016-02-29,24.085,6444430,44969.7585,91020.9685
"426",2016-03-01,24.50125,6631321,58214.0895,169175
"427",2016-03-02,24.4425,6639057,47641.9725,66603.695
"428",2016-03-03,28.2791666666667,6672452,48396.806,57995.0715
"429",2016-03-04,24.75875,6541687,71030.478,114585.2135
"430",2016-03-05,23.1904166666667,5585708,41944.5795,146225.994
"431",2016-03-06,21.39,5178472,50168.319,NA
"432",2016-03-07,29.4375,6386861,66537.6465,NA
"433",2016-03-08,28.4225,6569830,72776.852,64692.644
